Range,Accuracy,ROC_AUC,F1,MCC,Variant
81-85,0.9743657694962042,0.9973976894104013,0.9782648135667316,0.9479141758172906,w/o Multi-scale
86-90,0.9838786340747125,0.9957418901312574,0.9819288451012589,0.9678209272373112,w/o Multi-scale
91-95,0.972990804366248,0.9968694630727466,0.9656262090796807,0.9442208499276468,w/o Multi-scale
96-100,0.9555574144281493,0.9852287147010041,0.9321144486423355,0.9007157453459564,w/o Multi-scale
101-105,0.9535660645980872,0.9687417618067242,0.922725739868597,0.8897196786664876,w/o CNN
106-110,0.9678744703472436,0.9909938602617953,0.9445581945581946,0.922428258856077,w/o CNN
11-15,0.8383784241559737,0.8610917818766961,0.9014315151779584,0.44365108690729416,w/o CNN
16-20,0.8106317889900228,0.8792021749713855,0.8700825959341719,0.5094452486163457,w/o CNN
21-25,0.8576372283209587,0.9325466113284925,0.9009054238007816,0.6497030999464946,w/o CNN
26-30,0.8933594680339423,0.9713604728563041,0.9152585984830093,0.7724244204453526,w/o CNN
31-35,0.9538544273738582,0.9940427014735743,0.9513805795790935,0.9071190171762403,w/o CNN
36-40,0.9562384913903841,0.9936170099567839,0.9463662451437841,0.9106848967458461,w/o CNN
41-45,0.9320743958357799,0.9880748622841,0.8989596105301118,0.8474325130059948,w/o CNN
46-50,0.975489006681847,0.9934574104011269,0.9539558629776022,0.9374608082866434,w/o CNN
51-55,0.9559188413121896,0.9874745104276353,0.9415729368670546,0.9076728357810666,w/o CNN
56-60,0.9625264319014318,0.99238605083084,0.9681383724383,0.920969814340608,w/o CNN
6-10,0.8291828926692629,0.8190893835011481,0.901146057008126,0.18777795175182535,w/o CNN
61-65,0.9777136991304909,0.998694783530498,0.9841514634911782,0.9475225498697238,w/o CNN
66-70,0.9810648778953988,0.996266358221407,0.9829377859895978,0.9626840604781026,w/o CNN
71-75,0.9784611528822055,0.9970653791587848,0.9809546258389616,0.956505904342665,w/o CNN
76-80,0.9686740846412487,0.9893346608009745,0.9718260388078386,0.936783060027485,w/o CNN
81-85,0.9710676090526166,0.9956807234667405,0.9750104184800097,0.9408792160608371,w/o CNN
