Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all	CDI_prop	CTR_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
pfam13263	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam03734	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam18895	3	4012	4	1769	0.0007477567298105	0.0022611644997173	0.3306954137587238	0.2112286315547777	0.2650791130201423	1.0	1.0
pfam10671	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam04060	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam19258	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13484	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam04448	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam00401	7	4012	1	1769	0.0017447657028913	0.0005652911249293	3.086490528414756	0.4484315278388276	0.4667160536421953	1.0	1.0
pfam14003	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam18316	4	4012	3	1769	0.0009970089730807	0.001695873374788	0.5879029577932867	0.4439660014742578	0.7689193499173996	1.0	1.0
pfam13857	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
pfam14198	1	4012	2	1769	0.0002492522432701	0.0011305822498586	0.2204636091724825	0.2235630774799369	0.4657955484406455	1.0	1.0
pfam14202	4	4012	3	1769	0.0009970089730807	0.001695873374788	0.5879029577932867	0.4439660014742578	0.7689193499173996	1.0	1.0
pfam14311	2	4012	2	1769	0.0004985044865403	0.0011305822498586	0.4409272183449651	0.5907537171721371	0.7645186328638613	1.0	1.0
pfam01832	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam09392	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam14317	7	4012	1	1769	0.0017447657028913	0.0005652911249293	3.086490528414756	0.4484315278388276	0.4667160536421953	1.0	1.0
pfam13308	11	4012	9	1769	0.002741774675972	0.005087620124364	0.5389110446438462	0.2217479557828605	0.247347573878245	1.0	1.0
pfam03646	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam17936	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam08460	8	4012	1	1769	0.0019940179461615	0.0005652911249293	3.527417746759721	0.2914833766956984	0.3639943190160914	1.0	1.0
pfam00041	5	4012	1	1769	0.0012462612163509	0.0005652911249293	2.2046360917248258	0.674009626173903	0.765833925220133	1.0	1.0
pfam03633	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam14278	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam18962	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
pfam07261	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam05593	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam17386	8	4012	3	1769	0.0019940179461615	0.001695873374788	1.1758059155865734	1.0	1.0	1.0	1.0
pfam02061	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
