Disease	disease_count	disease_secret	disease_prop	ctr_count	ctr_secret	ctr_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
Aortic valve repair; Marfan syndrome	3643	201	0.055174307	2562341	134501	0.052491452	1.0511103217339082	0.4572339059805028	0.4912136673355394	1.0	1.0
Kawasaki disease	3958	217	0.05482567	2562341	134501	0.052491452	1.0444685355627046	0.4980492331194864	0.5337519361937544	1.0	1.0
HIV	16255	889	0.054690864	2562341	134501	0.052491452	1.0419003840853935	0.2104220242993034	0.2166038573561072	1.0	1.0
atherosclerotic cardiovascular disease	70527	3845	0.054518128	2562341	134501	0.052491452	1.038609638765565	0.0178181629717291	0.0177341072841527	1.0	1.0
UC	149618	8144	0.054431953	2562341	134501	0.052491452	1.0369679428947782	0.0011428978242971	0.0011047468679629	0.0902889281194709	0.0872750025690691
CRC	297479	16183	0.054400479	2562341	134501	0.052491452	1.036368340506184	1.126231412683712e-05	1.0476833447838889e-05	0.0008897228160201325	0.0008276698423792722
Insertion of left ventricular assist device	3771	205	0.054362238	2562341	134501	0.052491452	1.0356398218894765	0.6088792853022855	0.6325058826896484	1.0	1.0
NAA	45216	2455	0.05429494	2562341	134501	0.052491452	1.034357746476512	0.0888784078304018	0.0903608996399754	1.0	1.0
CD	94706	5132	0.054188753	2562341	134501	0.052491452	1.032334807579718	0.0219535806072853	0.0219432771015828	1.0	1.0
T2D	69817	3763	0.053898048	2562341	134501	0.052491452	1.0267966677698304	0.1005824208574399	0.1020209633650046	1.0	1.0
ADA	20404	1099	0.053861988	2562341	134501	0.052491452	1.0261096987753358	0.377593331922921	0.390606732691395	1.0	1.0
Glandular mucosa	781	42	0.053777209	2562341	134501	0.052491452	1.0244945977108806	0.8723074699545512	0.9355550774229364	1.0	1.0
gestational diabetes mellitus	8159	437	0.053560485	2562341	134501	0.052491452	1.0203658492815173	0.654543955872974	0.6836954936992912	1.0	1.0
Oesophagectomy	1774	95	0.053551297	2562341	134501	0.052491452	1.0201908112581834	0.8312443916172702	0.8832552373892875	1.0	1.0
Non-alcoholic fatty liver disease	17619	940	0.053351496	2562341	134501	0.052491452	1.0163844581780668	0.6111269828721082	0.6218975891309506	1.0	1.0
Subdural haemorrhage	24887	1327	0.053321011	2562341	134501	0.052491452	1.0158036969524105	0.5582199970317894	0.5689086795869189	1.0	1.0
short bowel syndrome	1825	97	0.053150685	2562341	134501	0.052491452	1.0125588638698737	0.8748517899424074	0.9412213104963209	1.0	1.0
breast cancer	25050	1330	0.053093812	2562341	134501	0.052491452	1.0114753922219564	0.669356633701041	0.6809567942449857	1.0	1.0
Mycoplasma pneumoniae pneumonia	43395	2289	0.052748012	2562341	134501	0.052491452	1.0048876529458548	0.811284993534398	0.8205933338683625	1.0	1.0
atrial fibrillation	23912	1260	0.052693208	2562341	134501	0.052491452	1.0038435972394133	0.8841890372134317	0.9007787838559924	1.0	1.0
Intracerebral haematoma	1653	87	0.052631579	2562341	134501	0.052491452	1.002669520363049	0.9560038927604324	1.0	1.0	1.0
Periodontitis	70919	3726	0.052538812	2562341	134501	0.052491452	1.000902242140301	0.95236162655191	0.962313157586382	1.0	1.0
Cholera	96044	5039	0.052465537	2562341	134501	0.052491452	0.9995063005687096	0.9823630315883144	0.9776717072607152	1.0	1.0
Subdural haemorrhage; hepatitis C; alcoholism	3514	184	0.052361981	2562341	134501	0.052491452	0.9975334841185188	1.0	1.0	1.0	1.0
T1D	35528	1859	0.052324927	2562341	134501	0.052491452	0.9968275787074816	0.9046624721348944	0.8983039706527254	1.0	1.0
