Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all
pfam09154	4	4012	1	1769
pfam17866	4	4012	2	1769
pfam18998	1	4012	1	1769
pfam14208	1	4012	1	1769
pfam02839	1	4012	0	1769
pfam02368	1	4012	1	1769
pfam05480	8	4012	0	1769
pfam16112	1	4012	2	1769
pfam19910	2	4012	1	1769
pfam20037	1	4012	0	1769
pfam13720	1	4012	1	1769
pfam01436	2	4012	0	1769
pfam05931	2	4012	0	1769
pfam15959	5	4012	0	1769
pfam13999	2	4012	0	1769
pfam00196	2	4012	0	1769
pfam12872	2	4012	1	1769
pfam05488	3	4012	0	1769
pfam13559	3	4012	0	1769
pfam05372	1	4012	0	1769
pfam00403	2	4012	0	1769
pfam03230	1	4012	0	1769
pfam14537	3	4012	1	1769
pfam13884	1	4012	0	1769
pfam15654	1	4012	0	1769
pfam12799	2	4012	2	1769
pfam01895	5	4012	2	1769
pfam13098	1	4012	0	1769
pfam00085	1	4012	0	1769
pfam07635	1	4012	0	1769
pfam18310	1	4012	0	1769
pfam16358	1	4012	0	1769
pfam06688	1	4012	0	1769
pfam00614	1	4012	0	1769
pfam07603	1	4012	1	1769
pfam18610	1	4012	1	1769
pfam01097	3	4012	0	1769
pfam18154	1	4012	0	1769
pfam13432	1	4012	1	1769
pfam14559	1	4012	0	1769
pfam17753	1	4012	0	1769
pfam12959	2	4012	1	1769
pfam18630	1	4012	0	1769
pfam07963	1	4012	0	1769
pfam19607	2	4012	0	1769
pfam14287	1	4012	0	1769
pfam14604	1	4012	0	1769
pfam16587	1	4012	0	1769
pfam03013	1	4012	0	1769
pfam13155	3	4012	2	1769
pfam13662	1	4012	1	1769
pfam17677	1	4012	0	1769
pfam17279	1	4012	1	1769
pfam07873	1	4012	0	1769
pfam04225	1	4012	0	1769
pfam05321	2	4012	0	1769
pfam18914	1	4012	1	1769
pfam01906	1	4012	0	1769
pfam18412	2	4012	0	1769
pfam04203	3	4012	1	1769
pfam00570	3	4012	0	1769
pfam07863	2	4012	3	1769
pfam07012	1	4012	0	1769
pfam13754	1	4012	0	1769
pfam02085	1	4012	0	1769
pfam19840	1	4012	0	1769
pfam19791	1	4012	0	1769
pfam13004	1	4012	1	1769
pfam19180	1	4012	0	1769
pfam18524	1	4012	0	1769
pfam18671	1	4012	0	1769
pfam11890	1	4012	0	1769
pfam08708	1	4012	0	1769
pfam16738	1	4012	0	1769
pfam07715	1	4012	0	1769
pfam18003	1	4012	0	1769
pfam06411	2	4012	1	1769
pfam06594	1	4012	0	1769
pfam06855	2	4012	0	1769
pfam10704	1	4012	0	1769
pfam06014	1	4012	0	1769
pfam14493	3	4012	0	1769
pfam19854	2	4012	0	1769
pfam17482	1	4012	0	1769
pfam12992	2	4012	2	1769
pfam00512	1	4012	0	1769
pfam11167	1	4012	2	1769
pfam13957	1	4012	0	1769
pfam02830	1	4012	1	1769
pfam17384	1	4012	0	1769
pfam16325	1	4012	0	1769
pfam09918	1	4012	0	1769
pfam11653	1	4012	0	1769
pfam13665	1	4012	0	1769
pfam13442	1	4012	0	1769
pfam00034	1	4012	0	1769
pfam12963	1	4012	0	1769
pfam08352	1	4012	1	1769
pfam08386	2	4012	0	1769
pfam14056	1	4012	0	1769
pfam11417	1	4012	0	1769
pfam10829	1	4012	0	1769
pfam13306	1	4012	0	1769
pfam03471	1	4012	0	1769
pfam04316	3	4012	0	1769
pfam19757	1	4012	0	1769
pfam05402	1	4012	0	1769
pfam13146	1	4012	0	1769
pfam06085	1	4012	0	1769
pfam14001	1	4012	0	1769
pfam16362	3	4012	0	1769
pfam15523	1	4012	0	1769
pfam12733	1	4012	1	1769
pfam13508	1	4012	0	1769
pfam14542	1	4012	0	1769
pfam04336	1	4012	0	1769
pfam03442	1	4012	0	1769
pfam16657	1	4012	1	1769
pfam10418	0	4012	1	1769
pfam14193	0	4012	2	1769
pfam20076	0	4012	2	1769
pfam12637	0	4012	1	1769
pfam05738	0	4012	1	1769
pfam17051	0	4012	1	1769
pfam07550	0	4012	1	1769
pfam01391	0	4012	9	1769
pfam12646	0	4012	4	1769
pfam13533	0	4012	1	1769
pfam13538	0	4012	2	1769
pfam19804	0	4012	1	1769
pfam16124	0	4012	1	1769
pfam13428	0	4012	2	1769
pfam11387	0	4012	1	1769
pfam19092	0	4012	1	1769
pfam07463	0	4012	1	1769
pfam10925	0	4012	1	1769
pfam13927	0	4012	1	1769
pfam04277	0	4012	1	1769
pfam19754	0	4012	2	1769
pfam13181	0	4012	1	1769
pfam00550	0	4012	2	1769
pfam14261	0	4012	1	1769
pfam02806	0	4012	1	1769
pfam14080	0	4012	1	1769
pfam00595	0	4012	2	1769
pfam04405	0	4012	1	1769
pfam12750	0	4012	2	1769
pfam13362	0	4012	1	1769
pfam13437	0	4012	1	1769
pfam13248	0	4012	1	1769
pfam09722	0	4012	1	1769
pfam10080	0	4012	3	1769
pfam07699	0	4012	1	1769
pfam12913	0	4012	1	1769
pfam04026	0	4012	1	1769
pfam13530	0	4012	1	1769
pfam07892	0	4012	1	1769
pfam13414	0	4012	1	1769
pfam13371	0	4012	1	1769
pfam13431	0	4012	1	1769
pfam04355	0	4012	1	1769
pfam03457	0	4012	1	1769
pfam06935	0	4012	1	1769
pfam14191	0	4012	1	1769
